city,area,bedrooms,bathrooms,price,address
Berlin,163,4,3,1018738,Berlin Street 2984
Frankfurt,47,1,1,388709,Frankfurt Street 2572
Stuttgart,61,1,1,454323,Stuttgart Street 4155
Hamburg,200,5,5,1103420,Hamburg Street 2673
Frankfurt,105,2,1,1006194,Frankfurt Street 1572
Frankfurt,200,5,5,1794603,Frankfurt Street 1426
Cologne,175,4,4,1378265,Cologne Street 3327
Cologne,30,1,1,166896,Cologne Street 2351
Munich,140,3,3,1523865,Munich Street 3810
Frankfurt,143,3,2,802675,Frankfurt Street 4188
Frankfurt,73,1,1,636231,Frankfurt Street 2325
Cologne,199,4,4,1946024,Cologne Street 766
Munich,109,2,1,742953,Munich Street 1632
Munich,36,1,1,271342,Munich Street 2006
Frankfurt,186,4,3,1479714,Frankfurt Street 3731
Frankfurt,191,4,3,1339784,Frankfurt Street 3146
Frankfurt,132,3,2,710287,Frankfurt Street 1209
Stuttgart,31,1,1,235688,Stuttgart Street 3483
Munich,75,1,1,502056,Munich Street 412
Cologne,93,2,1,692299,Cologne Street 3740
Munich,148,3,3,1026672,Munich Street 3626
Cologne,159,3,3,1416357,Cologne Street 4489
Frankfurt,70,1,1,460468,Frankfurt Street 3687
Hamburg,93,2,2,626469,Hamburg Street 4271
Frankfurt,190,4,3,1723126,Frankfurt Street 2250
Frankfurt,49,1,1,288112,Frankfurt Street 1921
Hamburg,115,2,2,865667,Hamburg Street 4425
Berlin,65,1,1,532953,Berlin Street 1895
Frankfurt,69,1,1,365170,Frankfurt Street 527
Frankfurt,134,3,3,1083795,Frankfurt Street 4446
Frankfurt,136,3,2,1115936,Frankfurt Street 1695
Frankfurt,129,3,2,1163534,Frankfurt Street 4717
Frankfurt,152,3,2,892294,Frankfurt Street 2882
Hamburg,129,3,3,683511,Hamburg Street 4410
Stuttgart,169,4,3,1399812,Stuttgart Street 4000
Munich,99,2,2,891482,Munich Street 3979
Berlin,129,3,3,880507,Berlin Street 3313
Stuttgart,72,1,1,577416,Stuttgart Street 1046
Cologne,166,4,3,975277,Cologne Street 3228
Cologne,174,4,3,1238160,Cologne Street 688
Stuttgart,139,3,2,1103605,Stuttgart Street 3783
Munich,42,1,1,305995,Munich Street 3106
Hamburg,84,2,2,830484,Hamburg Street 2678
Hamburg,127,3,3,1001054,Hamburg Street 3454
Hamburg,50,1,1,274226,Hamburg Street 159
Stuttgart,168,4,3,1425451,Stuttgart Street 2867
Munich,196,4,3,1341236,Munich Street 330
Berlin,93,2,1,699658,Berlin Street 167
Cologne,69,1,1,577922,Cologne Street 1035
Frankfurt,59,1,1,384664,Frankfurt Street 3810
Stuttgart,95,2,2,849781,Stuttgart Street 1375
Cologne,185,4,3,1361855,Cologne Street 1342
Hamburg,57,1,1,477874,Hamburg Street 2556
Cologne,126,3,3,1181834,Cologne Street 1625
Berlin,181,4,3,1118760,Berlin Street 835
Stuttgart,107,2,1,681525,Stuttgart Street 4637
Berlin,118,2,2,630548,Berlin Street 3036
Berlin,159,3,3,864872,Berlin Street 104
Frankfurt,155,3,2,1190356,Frankfurt Street 3552
Hamburg,192,4,4,1476721,Hamburg Street 1254
Frankfurt,75,1,1,617372,Frankfurt Street 4409
Frankfurt,149,3,3,1354470,Frankfurt Street 4854
Hamburg,112,2,1,808496,Hamburg Street 710
Hamburg,145,3,2,1347497,Hamburg Street 3807
Cologne,186,4,4,1197852,Cologne Street 2756
Berlin,156,3,3,1565650,Berlin Street 1490
Frankfurt,84,2,2,737187,Frankfurt Street 2117
Hamburg,101,2,2,602535,Hamburg Street 4554
Berlin,162,4,3,827470,Berlin Street 702
Munich,134,3,3,1248907,Munich Street 4549
Munich,151,3,3,1226137,Munich Street 3672
Berlin,53,1,1,393694,Berlin Street 1816
Frankfurt,92,2,2,785519,Frankfurt Street 4765
Hamburg,151,3,3,1071364,Hamburg Street 3486
Stuttgart,170,4,4,1059067,Stuttgart Street 2883
Stuttgart,146,3,3,763248,Stuttgart Street 2512
Hamburg,89,2,1,583574,Hamburg Street 1578
Hamburg,60,1,1,505992,Hamburg Street 1570
Munich,153,3,3,1356185,Munich Street 4830
Cologne,182,4,4,929254,Cologne Street 824
Munich,105,2,1,923412,Munich Street 2957
Munich,107,2,1,979589,Munich Street 4376
Munich,100,2,1,699744,Munich Street 447
Cologne,104,2,1,728942,Cologne Street 4022
Berlin,33,1,1,216997,Berlin Street 3846
Frankfurt,142,3,3,854409,Frankfurt Street 1511
Berlin,94,2,2,654721,Berlin Street 935
Berlin,132,3,3,954230,Berlin Street 607
Cologne,191,4,3,1580133,Cologne Street 1243
Munich,174,4,4,1790714,Munich Street 698
Munich,60,1,1,369477,Munich Street 4967
Cologne,188,4,3,1038616,Cologne Street 4281
Frankfurt,145,3,3,1247500,Frankfurt Street 2436
Cologne,139,3,3,1042326,Cologne Street 4659
Cologne,45,1,1,337520,Cologne Street 1703
Stuttgart,84,2,2,1115444,Stuttgart Street 666
Munich,91,2,1,861816,Munich Street 4522
Berlin,70,1,1,558336,Berlin Street 3347
Frankfurt,182,4,4,1690460,Frankfurt Street 2386
Berlin,89,2,2,653865,Berlin Street 2317
Stuttgart,146,3,2,1025956,Stuttgart Street 1913
Hamburg,190,4,3,1575653,Hamburg Street 3483
Berlin,169,4,3,928710,Berlin Street 1221
Hamburg,66,1,1,452692,Hamburg Street 489
Munich,108,2,2,828887,Munich Street 3598
Berlin,149,3,3,984359,Berlin Street 3298
Hamburg,158,3,3,1664231,Hamburg Street 3587
Berlin,183,4,3,745277,Berlin Street 3540
Stuttgart,112,2,2,955291,Stuttgart Street 212
Berlin,88,2,1,387505,Berlin Street 2208
Cologne,40,1,1,246326,Cologne Street 3855
Cologne,196,4,4,1623070,Cologne Street 2279
Munich,179,4,4,1541060,Munich Street 4029
Berlin,150,3,3,764839,Berlin Street 3346
Hamburg,112,2,1,691035,Hamburg Street 1318
Hamburg,135,3,3,1104113,Hamburg Street 2362
Stuttgart,132,3,2,845387,Stuttgart Street 3726
Berlin,110,2,2,745953,Berlin Street 2649
Berlin,133,3,2,872379,Berlin Street 4445
Frankfurt,135,3,2,915772,Frankfurt Street 1537
Cologne,122,3,3,1185323,Cologne Street 3622
Berlin,82,2,2,600575,Berlin Street 4500
Munich,103,2,2,520897,Munich Street 3971
Berlin,37,1,1,249468,Berlin Street 1298
Hamburg,171,4,3,1068241,Hamburg Street 4525
Frankfurt,53,1,1,483879,Frankfurt Street 930
Frankfurt,60,1,1,393820,Frankfurt Street 4083
Stuttgart,104,2,2,762101,Stuttgart Street 3404
Frankfurt,150,3,2,1288167,Frankfurt Street 3742
Cologne,67,1,1,534487,Cologne Street 1562
Cologne,160,4,3,826815,Cologne Street 572
Hamburg,136,3,3,913691,Hamburg Street 4160
Hamburg,30,1,1,195482,Hamburg Street 2446
Cologne,178,4,4,1052242,Cologne Street 1218
Frankfurt,167,4,4,1762536,Frankfurt Street 2828
Hamburg,171,4,4,1330922,Hamburg Street 3731
Hamburg,78,1,1,419977,Hamburg Street 4685
Frankfurt,89,2,2,821635,Frankfurt Street 358
Hamburg,151,3,3,1548641,Hamburg Street 3163
Stuttgart,196,4,3,1773544,Stuttgart Street 4058
Berlin,62,1,1,280538,Berlin Street 823
Frankfurt,55,1,1,387452,Frankfurt Street 126
Stuttgart,66,1,1,620424,Stuttgart Street 1265
Berlin,150,3,3,837004,Berlin Street 2774
Cologne,131,3,2,969870,Cologne Street 2692
Stuttgart,166,4,4,1437883,Stuttgart Street 2595
Stuttgart,154,3,2,940879,Stuttgart Street 561
Munich,191,4,4,1604172,Munich Street 1864
Stuttgart,53,1,1,139819,Stuttgart Street 807
Stuttgart,55,1,1,327988,Stuttgart Street 1363
Stuttgart,106,2,1,754841,Stuttgart Street 377
Hamburg,44,1,1,237740,Hamburg Street 2937
Hamburg,140,3,2,1337094,Hamburg Street 2001
Cologne,135,3,2,655426,Cologne Street 1393
Munich,50,1,1,387596,Munich Street 1973
Frankfurt,179,4,3,1432707,Frankfurt Street 1903
Frankfurt,193,4,4,1939338,Frankfurt Street 3765
Hamburg,200,5,4,1026471,Hamburg Street 3812
Hamburg,169,4,3,1499867,Hamburg Street 606
Frankfurt,118,2,2,922283,Frankfurt Street 3476
Stuttgart,94,2,2,566607,Stuttgart Street 2475
Munich,128,3,3,1188553,Munich Street 874
Munich,127,3,3,1122476,Munich Street 4709
Hamburg,105,2,1,665247,Hamburg Street 3243
Hamburg,32,1,1,233616,Hamburg Street 4968
Stuttgart,157,3,3,1086758,Stuttgart Street 1886
Cologne,120,3,2,834526,Cologne Street 1558
Cologne,94,2,1,723846,Cologne Street 796
Stuttgart,195,4,3,1926409,Stuttgart Street 2531
Frankfurt,38,1,1,223022,Frankfurt Street 1077
Berlin,105,2,2,973659,Berlin Street 3404
Munich,81,2,1,419697,Munich Street 4419
Hamburg,165,4,4,1151935,Hamburg Street 1348
Hamburg,153,3,3,1231218,Hamburg Street 2775
Berlin,149,3,2,1022928,Berlin Street 1154
Munich,131,3,3,974824,Munich Street 740
Frankfurt,33,1,1,246685,Frankfurt Street 4396
Berlin,146,3,3,855428,Berlin Street 2148
Cologne,127,3,3,761804,Cologne Street 888
Stuttgart,89,2,2,780921,Stuttgart Street 206
Cologne,173,4,4,1260398,Cologne Street 4998
Munich,195,4,3,1427800,Munich Street 3804
Stuttgart,107,2,2,946885,Stuttgart Street 956
Munich,41,1,1,369918,Munich Street 2494
Frankfurt,59,1,1,535015,Frankfurt Street 1924
Cologne,64,1,1,490002,Cologne Street 3717
Hamburg,168,4,4,1009049,Hamburg Street 4812
Stuttgart,69,1,1,459521,Stuttgart Street 812
Frankfurt,187,4,4,1676600,Frankfurt Street 2292
Berlin,124,3,2,904391,Berlin Street 3633
Frankfurt,90,2,2,699065,Frankfurt Street 814
Stuttgart,124,3,3,951822,Stuttgart Street 497
Frankfurt,100,2,1,979315,Frankfurt Street 1001
Frankfurt,53,1,1,364488,Frankfurt Street 4892
Berlin,42,1,1,302871,Berlin Street 1996
Munich,174,4,3,1419191,Munich Street 563
Cologne,83,2,1,539828,Cologne Street 1909
Hamburg,67,1,1,588409,Hamburg Street 2272
Munich,63,1,1,623902,Munich Street 1430
Berlin,199,4,3,1503954,Berlin Street 1080
Berlin,121,3,2,991851,Berlin Street 4824
Hamburg,34,1,1,245828,Hamburg Street 2174
Berlin,62,1,1,457965,Berlin Street 4310
Berlin,46,1,1,280446,Berlin Street 3673
Hamburg,161,4,3,1234354,Hamburg Street 3703
Cologne,86,2,1,569578,Cologne Street 4272
Hamburg,147,3,2,1078932,Hamburg Street 499
Frankfurt,132,3,3,1152154,Frankfurt Street 885
Frankfurt,143,3,2,932871,Frankfurt Street 662
Hamburg,185,4,3,1889411,Hamburg Street 539
Munich,100,2,2,678977,Munich Street 3121
Cologne,165,4,4,849536,Cologne Street 3717
Cologne,184,4,4,1541005,Cologne Street 813
Stuttgart,59,1,1,512562,Stuttgart Street 3524
Frankfurt,88,2,2,772079,Frankfurt Street 2777
Frankfurt,132,3,3,1158988,Frankfurt Street 779
Hamburg,139,3,3,998348,Hamburg Street 2089
Hamburg,69,1,1,407648,Hamburg Street 550
Berlin,51,1,1,336525,Berlin Street 3538
Berlin,125,3,2,702461,Berlin Street 4558
Berlin,180,4,4,1398178,Berlin Street 1002
Frankfurt,120,3,3,908470,Frankfurt Street 422
Hamburg,183,4,4,1100064,Hamburg Street 2881
Berlin,177,4,3,1076549,Berlin Street 1268
Stuttgart,153,3,2,1242267,Stuttgart Street 887
Hamburg,172,4,4,1098776,Hamburg Street 942
Hamburg,176,4,3,1058816,Hamburg Street 3516
Cologne,189,4,3,1347837,Cologne Street 4989
Stuttgart,98,2,1,771010,Stuttgart Street 1478
Hamburg,109,2,2,705230,Hamburg Street 2876
Berlin,76,1,1,447461,Berlin Street 4640
Stuttgart,132,3,2,1035945,Stuttgart Street 1163
Stuttgart,192,4,3,1022951,Stuttgart Street 752
Stuttgart,165,4,3,889152,Stuttgart Street 3082
Frankfurt,146,3,3,975167,Frankfurt Street 1290
Hamburg,109,2,2,751297,Hamburg Street 4650
Cologne,51,1,1,368364,Cologne Street 1275
Munich,188,4,3,2069523,Munich Street 669
Hamburg,143,3,3,1206209,Hamburg Street 3979
Cologne,143,3,3,941295,Cologne Street 2238
Munich,161,4,3,1363295,Munich Street 2828
Frankfurt,58,1,1,361691,Frankfurt Street 4859
Frankfurt,164,4,4,1274463,Frankfurt Street 373
Munich,131,3,2,1049215,Munich Street 63
Munich,107,2,1,968202,Munich Street 1125
Hamburg,104,2,2,624913,Hamburg Street 983
Berlin,157,3,3,1126498,Berlin Street 1440
Munich,127,3,2,1410418,Munich Street 4099
Cologne,120,3,2,798250,Cologne Street 3253
Stuttgart,40,1,1,324102,Stuttgart Street 154
Frankfurt,49,1,1,434954,Frankfurt Street 4717
Frankfurt,176,4,4,1262640,Frankfurt Street 3422
Hamburg,59,1,1,443838,Hamburg Street 171
Hamburg,73,1,1,526923,Hamburg Street 2965
Berlin,141,3,2,934404,Berlin Street 1994
Frankfurt,180,4,4,1186938,Frankfurt Street 4293
Berlin,131,3,3,855674,Berlin Street 2782
Munich,115,2,1,1074858,Munich Street 626
Cologne,192,4,3,1684522,Cologne Street 4347
Cologne,79,1,1,640264,Cologne Street 2877
Stuttgart,195,4,3,2092305,Stuttgart Street 1936
Berlin,67,1,1,368664,Berlin Street 1617
Munich,184,4,3,1836861,Munich Street 618
Munich,190,4,4,1674219,Munich Street 3801
Cologne,178,4,4,1740507,Cologne Street 4625
Stuttgart,192,4,4,1207210,Stuttgart Street 2590
Munich,142,3,2,1004291,Munich Street 3842
Frankfurt,191,4,4,1311204,Frankfurt Street 2251
Cologne,44,1,1,172106,Cologne Street 4157
Berlin,109,2,2,634000,Berlin Street 3703
Berlin,44,1,1,242577,Berlin Street 2352
Berlin,195,4,3,1305624,Berlin Street 4867
Cologne,128,3,3,929892,Cologne Street 4755
Cologne,40,1,1,374063,Cologne Street 4684
Stuttgart,78,1,1,696199,Stuttgart Street 4957
Frankfurt,158,3,2,1090204,Frankfurt Street 507
Frankfurt,56,1,1,358314,Frankfurt Street 691
Cologne,195,4,3,1456456,Cologne Street 321
Munich,142,3,3,888295,Munich Street 4294
Cologne,186,4,3,1728085,Cologne Street 2982
Hamburg,102,2,2,907636,Hamburg Street 3349
Hamburg,183,4,3,1193962,Hamburg Street 2742
Berlin,114,2,1,487113,Berlin Street 4571
Stuttgart,128,3,3,1219943,Stuttgart Street 2065
Stuttgart,198,4,3,1450981,Stuttgart Street 2731
Berlin,179,4,3,1451539,Berlin Street 2866
Hamburg,197,4,4,966092,Hamburg Street 1057
Cologne,51,1,1,305227,Cologne Street 4579
Frankfurt,194,4,4,1514786,Frankfurt Street 1047
Stuttgart,164,4,3,1241557,Stuttgart Street 3469
Cologne,122,3,2,754925,Cologne Street 2971
Hamburg,76,1,1,615364,Hamburg Street 2800
Frankfurt,79,1,1,484626,Frankfurt Street 1127
Munich,49,1,1,404639,Munich Street 829
Cologne,168,4,3,1169885,Cologne Street 2759
Cologne,63,1,1,472477,Cologne Street 1264
Munich,76,1,1,737940,Munich Street 3586
Berlin,135,3,3,680125,Berlin Street 1946
Frankfurt,186,4,4,1005661,Frankfurt Street 3678
Munich,166,4,3,1771560,Munich Street 2536
Frankfurt,79,1,1,657154,Frankfurt Street 4673
Frankfurt,148,3,3,981589,Frankfurt Street 3129
Cologne,165,4,4,1470078,Cologne Street 1328
Munich,184,4,3,1600183,Munich Street 2049
Berlin,194,4,4,1558418,Berlin Street 3041
Cologne,56,1,1,385942,Cologne Street 2336
Berlin,71,1,1,651707,Berlin Street 3681
Cologne,67,1,1,615546,Cologne Street 752
Munich,145,3,3,1171130,Munich Street 219
Frankfurt,43,1,1,400572,Frankfurt Street 4113
Hamburg,90,2,2,731640,Hamburg Street 669
Hamburg,87,2,1,797862,Hamburg Street 2611
Berlin,196,4,4,1028137,Berlin Street 1197
Munich,39,1,1,376985,Munich Street 3871
Stuttgart,65,1,1,590696,Stuttgart Street 3675
Cologne,31,1,1,136651,Cologne Street 156
Hamburg,85,2,1,467169,Hamburg Street 4496
Stuttgart,185,4,4,821613,Stuttgart Street 911
Hamburg,90,2,2,613084,Hamburg Street 999
Berlin,91,2,2,676385,Berlin Street 3745
Berlin,58,1,1,490277,Berlin Street 4889
Cologne,34,1,1,234626,Cologne Street 1177
Hamburg,139,3,2,1326783,Hamburg Street 2891
Munich,176,4,4,1083073,Munich Street 1535
Stuttgart,51,1,1,252191,Stuttgart Street 555
Cologne,169,4,3,1136432,Cologne Street 3199
Frankfurt,41,1,1,344364,Frankfurt Street 3059
Hamburg,34,1,1,243199,Hamburg Street 554
Hamburg,91,2,1,384282,Hamburg Street 4767
Stuttgart,115,2,1,847126,Stuttgart Street 364
Hamburg,169,4,4,899344,Hamburg Street 1435
Stuttgart,148,3,3,1258667,Stuttgart Street 1494
Munich,46,1,1,419667,Munich Street 303
Hamburg,81,2,1,473572,Hamburg Street 1635
Berlin,110,2,2,641517,Berlin Street 4223
Frankfurt,169,4,4,1038948,Frankfurt Street 2076
Berlin,195,4,3,1251610,Berlin Street 2344
Hamburg,42,1,1,360167,Hamburg Street 2239
Berlin,124,3,3,647100,Berlin Street 3277
Stuttgart,142,3,3,1172361,Stuttgart Street 2778
Munich,157,3,3,1192974,Munich Street 3010
Cologne,98,2,1,560725,Cologne Street 3478
Berlin,140,3,2,890520,Berlin Street 4469
Hamburg,112,2,1,639436,Hamburg Street 656
Hamburg,199,4,4,1274146,Hamburg Street 2511
Frankfurt,184,4,4,1091361,Frankfurt Street 1366
Stuttgart,143,3,3,1493933,Stuttgart Street 3663
Berlin,120,3,3,785501,Berlin Street 2250
Stuttgart,44,1,1,283818,Stuttgart Street 3328
Hamburg,161,4,3,1208809,Hamburg Street 256
Munich,185,4,4,1537172,Munich Street 286
Munich,47,1,1,381844,Munich Street 3001
Hamburg,128,3,2,1034803,Hamburg Street 4957
Munich,145,3,3,1419225,Munich Street 3048
Frankfurt,49,1,1,341648,Frankfurt Street 4338
Hamburg,131,3,3,834577,Hamburg Street 2284
Munich,59,1,1,473912,Munich Street 1525
Frankfurt,162,4,4,681858,Frankfurt Street 4602
Berlin,97,2,2,439434,Berlin Street 3656
Munich,186,4,4,2013205,Munich Street 4024
Munich,61,1,1,689083,Munich Street 607
Frankfurt,74,1,1,548451,Frankfurt Street 720
Stuttgart,111,2,2,928496,Stuttgart Street 532
Cologne,168,4,4,1213514,Cologne Street 2458
Munich,193,4,3,2650680,Munich Street 2962
Cologne,87,2,1,724068,Cologne Street 1647
Munich,90,2,2,745428,Munich Street 216
Hamburg,171,4,4,995907,Hamburg Street 3829
Cologne,63,1,1,290759,Cologne Street 539
Hamburg,131,3,3,981581,Hamburg Street 4307
Frankfurt,134,3,2,887092,Frankfurt Street 1027
Hamburg,194,4,3,999479,Hamburg Street 3687
Frankfurt,162,4,4,1100198,Frankfurt Street 1052
Cologne,193,4,3,1028515,Cologne Street 1058
Frankfurt,158,3,2,1648246,Frankfurt Street 1018
Cologne,69,1,1,551933,Cologne Street 1349
Munich,112,2,1,950482,Munich Street 2835
Cologne,102,2,1,898897,Cologne Street 2053
Munich,192,4,4,1657253,Munich Street 1026
Stuttgart,107,2,1,664263,Stuttgart Street 4118
Stuttgart,73,1,1,714282,Stuttgart Street 1403
Stuttgart,189,4,4,1570280,Stuttgart Street 4618
Berlin,37,1,1,190608,Berlin Street 373
Stuttgart,177,4,4,1276965,Stuttgart Street 1727
Cologne,136,3,2,762845,Cologne Street 4080
Stuttgart,169,4,4,916960,Stuttgart Street 2475
Frankfurt,92,2,2,850525,Frankfurt Street 2437
Frankfurt,48,1,1,517377,Frankfurt Street 1295
Frankfurt,136,3,3,764079,Frankfurt Street 3805
Munich,117,2,1,1106474,Munich Street 2561
Stuttgart,111,2,2,724168,Stuttgart Street 3267
Munich,124,3,2,951313,Munich Street 2615
Munich,149,3,2,1116446,Munich Street 2192
Frankfurt,93,2,1,600052,Frankfurt Street 794
Berlin,104,2,2,682560,Berlin Street 3426
Munich,70,1,1,496116,Munich Street 4733
Stuttgart,110,2,1,869625,Stuttgart Street 1306
Frankfurt,161,4,4,1243182,Frankfurt Street 4086
Hamburg,157,3,2,1076378,Hamburg Street 738
Frankfurt,159,3,3,1015087,Frankfurt Street 1973
Munich,179,4,4,1345988,Munich Street 399
Berlin,102,2,2,763164,Berlin Street 4895
Stuttgart,150,3,3,1237706,Stuttgart Street 4397
Berlin,57,1,1,298063,Berlin Street 1098
Hamburg,123,3,3,903193,Hamburg Street 2998
Berlin,132,3,2,986938,Berlin Street 4672
Cologne,79,1,1,357839,Cologne Street 4533
Hamburg,48,1,1,383157,Hamburg Street 4131
Frankfurt,170,4,4,1150272,Frankfurt Street 974
Munich,54,1,1,511380,Munich Street 3058
Hamburg,172,4,4,1049355,Hamburg Street 1182
Munich,184,4,4,999432,Munich Street 4097
Berlin,41,1,1,179751,Berlin Street 1123
Stuttgart,115,2,2,870794,Stuttgart Street 4255
Frankfurt,68,1,1,557951,Frankfurt Street 2687
Cologne,111,2,1,618284,Cologne Street 3220
Cologne,106,2,2,812859,Cologne Street 4156
Cologne,166,4,4,753695,Cologne Street 4612
Hamburg,151,3,2,1072831,Hamburg Street 3018
Hamburg,58,1,1,316455,Hamburg Street 4782
Hamburg,191,4,3,1195918,Hamburg Street 4890
Frankfurt,97,2,1,763772,Frankfurt Street 421
Cologne,152,3,2,855735,Cologne Street 4295
Stuttgart,188,4,4,1301555,Stuttgart Street 1211
Stuttgart,92,2,1,828868,Stuttgart Street 4691
Stuttgart,58,1,1,384810,Stuttgart Street 156
Frankfurt,110,2,2,1001404,Frankfurt Street 1241
Frankfurt,82,2,2,495087,Frankfurt Street 4111
Cologne,150,3,2,1128080,Cologne Street 1132
Cologne,83,2,2,727124,Cologne Street 3919
Cologne,126,3,3,433258,Cologne Street 1419
Frankfurt,166,4,4,1088436,Frankfurt Street 4476
Hamburg,194,4,4,1558010,Hamburg Street 4998
